src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
185.125.190.57,172.20.154.248,17,90,1741864077.879117,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741864112.924755,76,1614.262326,0.3
172.20.144.1,239.255.255.250,17,179,1741864121.355506,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864122.172695,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864122.369186,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864122.470198,373,1625.965925,
172.20.144.1,224.0.0.251,17,393,1741864122.686023,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1741864123.195954,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1741864123.299551,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1741864123.439902,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.448384,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.484002,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.521501,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.549640,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.578800,373,1625.965925,
172.20.144.1,224.0.0.251,17,393,1741864123.606274,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.606674,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.635686,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.663490,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1741864123.691349,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.692812,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.720005,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.749471,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.778424,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.806976,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.836432,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.863781,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.891600,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.920251,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1741864123.934052,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864123.949543,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.034983,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.068875,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.098138,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864124.108041,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.124952,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.152345,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.199671,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1741864124.242257,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.242257,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.312382,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864124.383254,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864124.409778,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1741864124.857153,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741864125.183932,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741864125.186660,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741864126.107491,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741864126.108181,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1741864126.704538,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864126.860808,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1741864127.005018,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.163677,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.192465,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.220415,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.248479,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.277645,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.307052,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.335666,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.364376,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.393563,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.422315,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.451782,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.480854,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.508604,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.537884,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.565856,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.594376,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.623208,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.652172,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.680708,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.709831,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.738605,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.764655,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.793551,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.823404,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.850616,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.879492,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741864127.906398,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864127.935412,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741864127.949524,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741864127.952034,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1741864128.184424,76,1614.262326,0.3
172.20.144.1,239.255.255.250,17,179,1741864129.640128,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1741864130.388246,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864132.400849,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.420018,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.423508,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.426633,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.557469,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.586545,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.614384,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.827451,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.900455,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864132.969594,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864133.340725,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864133.528438,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864133.671079,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864134.366028,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864134.769098,373,1625.965925,
